NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	144	0.5568532	1.8814293	0.0	0.0	0.0	1897	tags=51%, list=26%, signal=68%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	160	0.54459715	1.851006	0.0	0.0	0.0	1513	tags=41%, list=21%, signal=51%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	59	0.5937119	1.8171183	0.0	2.1088435E-4	0.001	1209	tags=44%, list=16%, signal=52%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	82	0.5244778	1.6920022	0.0	0.0028078125	0.017	1577	tags=40%, list=21%, signal=51%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	175	0.4927196	1.6917756	0.0	0.0022462502	0.017	2046	tags=49%, list=28%, signal=66%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	146	0.4782644	1.615981	0.0	0.0052672727	0.047	1573	tags=37%, list=21%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	162	0.44302344	1.5051538	0.0010224949	0.025095182	0.229	1607	tags=39%, list=22%, signal=49%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	81	0.47078034	1.5008231	0.009687836	0.023640504	0.244	1663	tags=37%, list=23%, signal=47%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	144	0.4339996	1.4661342	0.0010224949	0.032594003	0.358	1586	tags=33%, list=22%, signal=41%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	186	0.39899325	1.3694174	0.009183673	0.089160025	0.763	1756	tags=35%, list=24%, signal=45%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	147	0.40295312	1.3643794	0.006204757	0.08525668	0.777	2224	tags=35%, list=30%, signal=49%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	136	0.3975005	1.3305268	0.023565574	0.113074824	0.876	1246	tags=29%, list=17%, signal=35%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	123	0.3807094	1.2737482	0.06400839	0.18594314	0.979	1625	tags=26%, list=22%, signal=33%	
