ID	daaset	HPVpos_Clusters
GSM1607684	metanalysis	Cl1
GSM1607685	metanalysis	Cl1
GSM1607686	metanalysis	Cl1
GSM1607687	metanalysis	Cl3
GSM1607688	metanalysis	Cl3
GSM1607689	metanalysis	Cl2
GSM1607690	metanalysis	Cl3
GSM1607691	metanalysis	Cl3
GSM1607697	metanalysis	Cl1
GSM1607700	metanalysis	Cl2
GSM1607702	metanalysis	Cl1
GSM1607703	metanalysis	Cl2
GSM1607704	metanalysis	Cl3
GSM1607705	metanalysis	Cl2
GSM1607706	metanalysis	Cl1
GSM1607707	metanalysis	Cl3
GSM1607708	metanalysis	Cl2
GSM1607709	metanalysis	Cl2
GSM1607710	metanalysis	Cl2
GSM1607711	metanalysis	Cl1
GSM1607712	metanalysis	Cl3
GSM1607713	metanalysis	Cl3
GSM1607714	metanalysis	Cl2
GSM1607715	metanalysis	Cl3
GSM1607716	metanalysis	Cl1
GSM1607717	metanalysis	Cl3
GSM1607718	metanalysis	Cl1
GSM1607719	metanalysis	Cl1
GSM1607720	metanalysis	Cl3
GSM1607721	metanalysis	Cl1
GSM1607722	metanalysis	Cl2
GSM1607723	metanalysis	Cl2
GSM1607724	metanalysis	Cl2
GSM1607725	metanalysis	Cl2
GSM1607765	metanalysis	Cl1
GSM1607770	metanalysis	Cl2
GSM1607771	metanalysis	Cl1
GSM1607772	metanalysis	Cl1
GSM1607783	metanalysis	Cl3
GSM1607796	metanalysis	Cl1
GSM1607800	metanalysis	Cl3
GSM1607817	metanalysis	Cl1
GSM1607819	metanalysis	Cl2
GSM1607821	metanalysis	Cl3
GSM1607822	metanalysis	Cl1
GSM1607834	metanalysis	Cl1
GSM1607838	metanalysis	Cl2
GSM1607858	metanalysis	Cl2
GSM1607868	metanalysis	Cl3
GSM1607870	metanalysis	Cl3
GSM1607876	metanalysis	Cl3
GSM1607877	metanalysis	Cl3
GSM1607878	metanalysis	Cl1
GSM1607879	metanalysis	Cl1
GSM1607880	metanalysis	Cl1
GSM1607881	metanalysis	Cl2
GSM1607887	metanalysis	Cl1
GSM1607893	metanalysis	Cl3
GSM1607899	metanalysis	Cl3
GSM1607900	metanalysis	Cl1
GSM1607902	metanalysis	Cl1
GSM1607903	metanalysis	Cl2
GSM1607904	metanalysis	Cl2
GSM1607905	metanalysis	Cl3
GSM1607910	metanalysis	Cl1
GSM1607913	metanalysis	Cl2
GSM1607914	metanalysis	Cl2
GSM1607931	metanalysis	Cl2
GSM1607933	metanalysis	Cl3
GSM1607939	metanalysis	Cl2
GSM1607941	metanalysis	Cl3
GSM1607942	metanalysis	Cl2
GSM3029920	metanalysis	Cl1
GSM3029921	metanalysis	Cl2
GSM3029924	metanalysis	Cl3
GSM3029925	metanalysis	Cl1
GSM3029926	metanalysis	Cl3
GSM3029927	metanalysis	Cl1
GSM3029928	metanalysis	Cl3
GSM3029929	metanalysis	Cl3
GSM3029930	metanalysis	Cl3
GSM3029932	metanalysis	Cl1
GSM3029934	metanalysis	Cl1
GSM3029935	metanalysis	Cl2
GSM3029936	metanalysis	Cl3
GSM3029938	metanalysis	Cl1
GSM3029939	metanalysis	Cl1
GSM3029940	metanalysis	Cl2
GSM3029941	metanalysis	Cl3
GSM3029942	metanalysis	Cl3
GSM3316389	metanalysis	Cl1
GSM3316390	metanalysis	Cl3
GSM3316391	metanalysis	Cl1
GSM3316392	metanalysis	Cl2
GSM3316393	metanalysis	Cl1
GSM3316394	metanalysis	Cl2
GSM3316397	metanalysis	Cl2
GSM3316399	metanalysis	Cl3
GSM3316401	metanalysis	Cl1
GSM3316413	metanalysis	Cl1
GSM3316418	metanalysis	Cl2
GSM3316419	metanalysis	Cl3
GSM3316422	metanalysis	Cl1
GSM3316424	metanalysis	Cl3
GSM3316426	metanalysis	Cl3
GSM3316432	metanalysis	Cl3
GSM3316438	metanalysis	Cl3
GSM3316442	metanalysis	Cl3
GSM3316446	metanalysis	Cl1
GSM3316447	metanalysis	Cl1
GSM3316462	metanalysis	Cl3
GSM3316463	metanalysis	Cl2
GSM3316465	metanalysis	Cl3
GSM73654	metanalysis	Cl3
GSM73681	metanalysis	Cl3
GSM73682	metanalysis	Cl2
GSM73683	metanalysis	Cl3
GSM73684	metanalysis	Cl3
GSM73685	metanalysis	Cl2
GSM73686	metanalysis	Cl1
GSM73687	metanalysis	Cl1
GSM966745	metanalysis	Cl2
GSM966763	metanalysis	Cl2
GSM966770	metanalysis	Cl1
GSM966778	metanalysis	Cl3
GSM966782	metanalysis	Cl2
GSM966785	metanalysis	Cl3
GSM966786	metanalysis	Cl1
GSM966791	metanalysis	Cl3
GSM966796	metanalysis	Cl3
GSM966797	metanalysis	Cl3
GSM966798	metanalysis	Cl1
GSM966807	metanalysis	Cl2
GSM966818	metanalysis	Cl2
GSM966852	metanalysis	Cl3
HNSCC1	metanalysis	Cl1
HNSCC10	metanalysis	Cl3
HNSCC11	metanalysis	Cl3
HNSCC12	metanalysis	Cl2
HNSCC13	metanalysis	Cl1
HNSCC14	metanalysis	Cl2
HNSCC15	metanalysis	Cl2
HNSCC16	metanalysis	Cl1
HNSCC17	metanalysis	Cl1
HNSCC18	metanalysis	Cl3
HNSCC19	metanalysis	Cl3
HNSCC2	metanalysis	Cl1
HNSCC20	metanalysis	Cl2
HNSCC21	metanalysis	Cl1
HNSCC22	metanalysis	Cl1
HNSCC23	metanalysis	Cl3
HNSCC24	metanalysis	Cl1
HNSCC25	metanalysis	Cl3
HNSCC26	metanalysis	Cl3
HNSCC27	metanalysis	Cl3
HNSCC28	metanalysis	Cl1
HNSCC29	metanalysis	Cl1
HNSCC3	metanalysis	Cl2
HNSCC30	metanalysis	Cl1
HNSCC31	metanalysis	Cl2
HNSCC32	metanalysis	Cl1
HNSCC34	metanalysis	Cl3
HNSCC35	metanalysis	Cl1
HNSCC36	metanalysis	Cl3
HNSCC37	metanalysis	Cl3
HNSCC38	metanalysis	Cl2
HNSCC4	metanalysis	Cl2
HNSCC40	metanalysis	Cl1
HNSCC41	metanalysis	Cl2
HNSCC42	metanalysis	Cl3
