NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	88	-0.4187312	-1.8609287	0.0	0.0069344155	0.005	1787	tags=45%, list=23%, signal=58%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	147	-0.31834412	-1.514302	0.0	0.0930382	0.132	1745	tags=33%, list=23%, signal=41%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	167	-0.29894972	-1.4553937	0.0	0.10530512	0.214	2103	tags=36%, list=27%, signal=48%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	116	-0.30254042	-1.3822589	0.020618556	0.14217548	0.345	960	tags=22%, list=12%, signal=25%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	147	-0.26454642	-1.2863252	0.033755273	0.24352802	0.595	1334	tags=27%, list=17%, signal=32%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	139	-0.26590517	-1.2710607	0.042402826	0.22760989	0.639	1437	tags=26%, list=19%, signal=31%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	161	-0.251438	-1.2241883	0.06666667	0.28159463	0.767	1380	tags=24%, list=18%, signal=29%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	38	-0.32465696	-1.2031053	0.1757925	0.2836349	0.81	1871	tags=42%, list=24%, signal=55%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	54	-0.3012735	-1.1993116	0.14411765	0.26065946	0.818	1594	tags=35%, list=21%, signal=44%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	Details ...	81	-0.27234912	-1.1759375	0.14089347	0.27672645	0.868	1457	tags=31%, list=19%, signal=38%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	155	-0.24496476	-1.1639695	0.12727273	0.27625963	0.894	1257	tags=21%, list=16%, signal=25%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	114	-0.24087521	-1.1126556	0.21072797	0.36014417	0.953	1605	tags=30%, list=21%, signal=37%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	173	-0.22444119	-1.1040211	0.1992032	0.35090974	0.961	1473	tags=25%, list=19%, signal=30%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	72	-0.22958979	-0.97068727	0.50773996	0.7158161	1.0	603	tags=15%, list=8%, signal=16%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	69	-0.22467995	-0.94875216	0.55123675	0.73699397	1.0	1259	tags=25%, list=16%, signal=29%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	142	-0.18870914	-0.8982953	0.75510204	0.8407011	1.0	968	tags=15%, list=12%, signal=17%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	85	-0.2035523	-0.8979043	0.6967509	0.79262453	1.0	1273	tags=22%, list=16%, signal=26%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	159	-0.17941245	-0.8694208	0.86026204	0.8186219	1.0	1382	tags=21%, list=18%, signal=25%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	90	-0.17284727	-0.75813615	0.9157895	0.9375463	1.0	759	tags=10%, list=10%, signal=11%	
